"Valiutos pavadinimas";"Valiutos kodas";"Santykis";"Data"
"Australijos doleris";"AUD";"1,6189";"2019-09-24"
"Bulgarijos levas";"BGN";"1,9558";"2019-09-24"
"Brazilijos realas";"BRL";"4,5759";"2019-09-24"
"Kanados doleris";"CAD";"1,4586";"2019-09-24"
"Šveicarijos frankas";"CHF";"1,0878";"2019-09-24"
"Kinijos  ženminbi juanis";"CNY";"7,8199";"2019-09-24"
"Čekijos krona";"CZK";"25,872";"2019-09-24"
"Danijos krona";"DKK";"7,4661";"2019-09-24"
"Didžiosios Britanijos svaras sterlingų";"GBP";"0,88153";"2019-09-24"
"Honkongo doleris";"HKD";"8,6265";"2019-09-24"
"Kroatijos kuna";"HRK";"7,404";"2019-09-24"
"Vengrijos forintas";"HUF";"335,17";"2019-09-24"
"Indonezijos rupija";"IDR";"15527,98";"2019-09-24"
"Izraelio  naujasis šekelis";"ILS";"3,8555";"2019-09-24"
"Indijos rupija";"INR";"78,0635";"2019-09-24"
"Islandijos krona";"ISK";"137,2";"2019-09-24"
"Japonijos jena";"JPY";"118,45";"2019-09-24"
"Pietų Korėjos vonas";"KRW";"1313,66";"2019-09-24"
"Meksikos pesas";"MXN";"21,3897";"2019-09-24"
"Malaizijos ringitas";"MYR";"4,6009";"2019-09-24"
"Norvegijos krona";"NOK";"9,9225";"2019-09-24"
"Naujosios Zelandijos doleris";"NZD";"1,7428";"2019-09-24"
"Filipinų pesas";"PHP";"57,358";"2019-09-24"
"Lenkijos zlotas";"PLN";"4,3813";"2019-09-24"
"Rumunijos lėja";"RON";"4,7484";"2019-09-24"
"Rusijos rublis";"RUB";"70,0259";"2019-09-24"
"Švedijos krona";"SEK";"10,6763";"2019-09-24"
"Singapūro doleris";"SGD";"1,5145";"2019-09-24"
"Tailando batas";"THB";"33,63";"2019-09-24"
"Turkijos lira";"TRY";"6,2553";"2019-09-24"
"JAV doleris";"USD";"1,1003";"2019-09-24"
"Pietų Afrikos Respublikos randas";"ZAR";"16,3599";"2019-09-24"
