"Valiutos pavadinimas";"Valiutos kodas";"Santykis";"Data"
"Australijos doleris";"AUD";"1,6224";"2019-09-23"
"Bulgarijos levas";"BGN";"1,9558";"2019-09-23"
"Brazilijos realas";"BRL";"4,5665";"2019-09-23"
"Kanados doleris";"CAD";"1,4586";"2019-09-23"
"Šveicarijos frankas";"CHF";"1,0891";"2019-09-23"
"Kinijos  ženminbi juanis";"CNY";"7,8279";"2019-09-23"
"Čekijos krona";"CZK";"25,89";"2019-09-23"
"Danijos krona";"DKK";"7,4664";"2019-09-23"
"Didžiosios Britanijos svaras sterlingų";"GBP";"0,88343";"2019-09-23"
"Honkongo doleris";"HKD";"8,6116";"2019-09-23"
"Kroatijos kuna";"HRK";"7,4068";"2019-09-23"
"Vengrijos forintas";"HUF";"334,62";"2019-09-23"
"Indonezijos rupija";"IDR";"15472,37";"2019-09-23"
"Izraelio  naujasis šekelis";"ILS";"3,8617";"2019-09-23"
"Indijos rupija";"INR";"77,9405";"2019-09-23"
"Islandijos krona";"ISK";"137,2";"2019-09-23"
"Japonijos jena";"JPY";"118,07";"2019-09-23"
"Pietų Korėjos vonas";"KRW";"1315,27";"2019-09-23"
"Meksikos pesas";"MXN";"21,3353";"2019-09-23"
"Malaizijos ringitas";"MYR";"4,5976";"2019-09-23"
"Norvegijos krona";"NOK";"9,9723";"2019-09-23"
"Naujosios Zelandijos doleris";"NZD";"1,7514";"2019-09-23"
"Filipinų pesas";"PHP";"57,272";"2019-09-23"
"Lenkijos zlotas";"PLN";"4,382";"2019-09-23"
"Rumunijos lėja";"RON";"4,7498";"2019-09-23"
"Rusijos rublis";"RUB";"70,2637";"2019-09-23"
"Švedijos krona";"SEK";"10,7143";"2019-09-23"
"Singapūro doleris";"SGD";"1,514";"2019-09-23"
"Tailando batas";"THB";"33,499";"2019-09-23"
"Turkijos lira";"TRY";"6,2829";"2019-09-23"
"JAV doleris";"USD";"1,0985";"2019-09-23"
"Pietų Afrikos Respublikos randas";"ZAR";"16,3465";"2019-09-23"
