"Valiutos pavadinimas";"Valiutos kodas";"Santykis";"Data"
"Australijos doleris";"AUD";"1,6236";"2019-09-25"
"Bulgarijos levas";"BGN";"1,9558";"2019-09-25"
"Brazilijos realas";"BRL";"4,5987";"2019-09-25"
"Kanados doleris";"CAD";"1,458";"2019-09-25"
"Šveicarijos frankas";"CHF";"1,0841";"2019-09-25"
"Kinijos  ženminbi juanis";"CNY";"7,8239";"2019-09-25"
"Čekijos krona";"CZK";"25,867";"2019-09-25"
"Danijos krona";"DKK";"7,4648";"2019-09-25"
"Didžiosios Britanijos svaras sterlingų";"GBP";"0,88668";"2019-09-25"
"Honkongo doleris";"HKD";"8,6059";"2019-09-25"
"Kroatijos kuna";"HRK";"7,406";"2019-09-25"
"Vengrijos forintas";"HUF";"334,95";"2019-09-25"
"Indonezijos rupija";"IDR";"15539,53";"2019-09-25"
"Izraelio  naujasis šekelis";"ILS";"3,8482";"2019-09-25"
"Indijos rupija";"INR";"78,0215";"2019-09-25"
"Islandijos krona";"ISK";"136,00";"2019-09-25"
"Japonijos jena";"JPY";"118,00";"2019-09-25"
"Pietų Korėjos vonas";"KRW";"1318,39";"2019-09-25"
"Meksikos pesas";"MXN";"21,5068";"2019-09-25"
"Malaizijos ringitas";"MYR";"4,6015";"2019-09-25"
"Norvegijos krona";"NOK";"9,931";"2019-09-25"
"Naujosios Zelandijos doleris";"NZD";"1,7435";"2019-09-25"
"Filipinų pesas";"PHP";"57,475";"2019-09-25"
"Lenkijos zlotas";"PLN";"4,3915";"2019-09-25"
"Rumunijos lėja";"RON";"4,7438";"2019-09-25"
"Rusijos rublis";"RUB";"70,6879";"2019-09-25"
"Švedijos krona";"SEK";"10,6825";"2019-09-25"
"Singapūro doleris";"SGD";"1,5133";"2019-09-25"
"Tailando batas";"THB";"33,577";"2019-09-25"
"Turkijos lira";"TRY";"6,2598";"2019-09-25"
"JAV doleris";"USD";"1,0982";"2019-09-25"
"Pietų Afrikos Respublikos randas";"ZAR";"16,5085";"2019-09-25"
